,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,28.974471534895375,2694.779519194576,51.91126582153989,11.345227516836212
14,31.556708403888788,3065.8337375021183,55.36997144212843,12.370105019250193
30,36.70539163164219,3760.6275495147447,61.32395575559966,14.365776586184321
60,39.24508256356326,4224.876932591665,64.99905332073433,15.278712353268805
182,43.61667117973321,4746.817784020775,68.89715367140195,16.365477900490514
365,46.59236363398651,4974.454914168599,70.52981578147357,17.46300613436304
