,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,28.994351197732094,2741.561157934807,52.359919384342135,11.353011586256388
14,31.8233905494012,3127.4792518548306,55.923870143748374,12.474643366676219
30,37.26751442576612,3875.4652095316915,62.25323453067874,14.585780517907112
60,40.72026136988763,4473.885073124115,66.88710692744989,15.853022080225381
182,45.131952811895374,5125.357160623333,71.59159979092053,16.934029039159068
365,48.733036216314304,5299.848299557056,72.80005700243,18.265338867051124
