,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,-0.00650233846261228,-0.005082408462615247,-0.009765985974222392,-0.002168810195790263,104.2803936794062,104.41896962843633,101.99424881164795,105.76429413242451,48195.14463265935,47553.87743765496,45536.02622419883,48834.649879971344,219.5339259264029,218.06851546625194,213.39172013974402,220.9856327455958,12.01227046841175,12.028233313597053,11.748924795150192,12.183203977203966
14,0.0085556570370703,0.0052718472741459495,0.01731336226438345,0.0012507056317782692,128.15515344059776,129.55785462129504,127.00718057372842,130.63294008424498,66145.34016821701,66626.28372102957,63359.23478697456,69219.52799894773,257.1873639357443,258.1206766631251,251.7126035520958,263.09604329778074,14.76068659306894,14.922247263522955,14.628465084606077,15.046073728189663
30,0.04538720642570956,0.057292992136243816,0.004689704405840904,-0.007870374712705836,169.962996307272,177.43728428055383,199.80790943488913,168.54659369049747,89035.72970718013,92164.11258771623,108850.82149495717,97904.39148578414,298.3885549198899,303.58542881323575,329.9254786992923,312.8967744892621,19.424862514217228,20.27908972500484,22.835801052889686,19.262983595314893
60,0.010659092453663246,0.055979447574394145,0.013020473274866811,-0.02989998902716632,198.92283521284133,188.81531840887322,243.77273868643502,207.59818428980813,111844.53632260447,101538.35295404012,145307.82976190647,126667.906821345,334.4316616628941,318.6508323448099,381.19264127460076,355.90435066369304,22.627619530563557,21.477882023583742,27.729329199527015,23.614446900072902
182,0.07956353342877659,0.1434100167878241,-0.05168005379206603,-0.03660832950681269,221.69212041986316,209.1517514271167,270.85568312965574,232.34356533605012,123811.09905178043,118199.57635893422,160716.36659766882,131859.9478001696,351.86801368095456,343.8016526413656,400.89445817779625,363.1252508435204,24.15904497422515,22.79244999594916,29.516676631812004,25.319793205976854
365,0.053929344676523265,0.1074095656954175,-0.025687883337655495,0.00383509768960865,251.25543689113027,246.1349235428207,293.56910058752453,233.4047593823314,162294.86075191465,159292.3785214677,191768.72127438695,141950.75780816967,402.85836314009254,399.11449299852256,437.91405694997616,376.76353035845926,26.912154771276846,26.363692817803553,31.44440243296842,25.00015556507816
