,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,504.63718519223545,762736.5195105856,873.3478800057773,5.46346786955762
14,640.2506573946322,1696181.1480997154,1302.375194826635,6.921273290812283
30,869.7660117985135,2935553.2842010325,1713.3456406110918,9.373625238175427
60,959.4899916022258,3190048.4549289206,1786.0706746735752,10.34417000629315
182,975.3625564372329,3308922.8767239447,1819.0444955316361,10.467029550336598
365,1009.1056477333162,3436661.709818467,1853.8235379394844,10.822936829013386
