,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,43768.391526321124,13048467856.214922,114229.89037994793,8.219053519976917
14,43222.55695921617,14223811988.534634,119263.62391162962,8.11794390620388
30,51976.035995180246,17433393093.497295,132035.57510571647,9.740667481875755
60,56278.75061595077,18389670602.856514,135608.5196543953,10.514704597035642
182,56900.05568812354,19902043756.36995,141074.60351307018,10.457022407895062
365,57262.91646242689,19492781377.510723,139616.5512305426,10.531372558890803
