,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,144.34724199543757,146.73939313408957,142.39611512945132,145.26162062552856,68333.4161233071,73296.6586233795,63906.648920082735,70185.15245738607,261.4066107107988,270.7335565152194,252.79764421387065,264.92480528894623,0.07748896647325135,0.06380692907768364,0.08428531917893438,0.0822565277442006,13.315414569516843,13.536080262077146,13.135431476392345,13.399762080178348
14,194.65908492488455,191.06625772901003,191.672972306465,192.29126694307016,120463.73197291119,116912.1167564099,122945.4382618446,120288.17519612344,347.07885555434115,341.92413889108485,350.63576295330256,346.825857161953,0.07245070834791968,0.07389458773018671,0.00534249566615789,0.0809859630300579,17.958510698060177,17.6270500541437,17.683023245603525,17.74006476950831
30,257.1420047557512,283.5733840822121,358.85873958090394,250.68578141069835,177283.46171581297,208589.21141984232,296210.01924199966,170755.32010783075,421.0504265712279,456.7156789730809,544.251797647008,413.2255075716294,0.04207086068043026,0.03852777153423129,0.004054941913497528,0.02979312273195454,23.96784964449793,26.43148185501541,33.44872543114439,23.36607402035396
60,308.8884349072156,321.03837487472265,427.54983611572624,327.5442134092774,230816.88451041447,251086.86876933157,414352.1795682124,293894.50915511756,480.43405844133747,501.0856900464546,643.7019337925065,542.120382530594,0.012003272386486059,0.02399871965373045,0.0007527493996966338,0.009367824143235675,28.784377269427697,29.91659335880857,39.842073685710425,30.52285273815003
182,351.70717929880055,385.71931341948493,434.3273789597122,368.7664401412731,284684.0783030142,340702.78383322683,387662.0493114433,371824.5647585582,533.557942779427,583.697510559388,622.6251274333886,609.7741916140418,-0.0010545805195579462,0.009072585086872175,-0.013144047448869826,-0.01070762864754131,32.74586565762661,35.91258172201177,40.438258983507524,34.33417632242378
365,376.7376122596317,395.27068248918766,417.87380930774196,379.96011478974185,322979.2722284469,349263.631588854,365078.0408516188,316700.0951727911,568.3126535881872,590.9853057300613,604.2168822960997,562.7611350944476,-0.00411986192722972,0.09231300961271188,-0.00702982570124448,-0.014790526465159189,35.860297173927684,37.624393415847734,39.77590369354927,36.167035589771984
