,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,6405.570244745727,4311.595445732856,3724.726062097737,4294.199491052484,1864210861.4081395,404090355.56953895,323822271.7342114,391617332.3669907,16582.055133842216,7854.15353616241,7035.592375378142,7731.899191094353,0.1659430336660234,0.2340083861691121,0.22394025601983095,0.23834302487236522,8.825592782636525,8.495461684187239,8.167487851389819,8.378497474369022
14,6373.527584365786,4736.641122907832,5538.727562692188,4999.573310089654,2032287939.641867,703941004.8804611,1556896936.3277137,763811970.1608683,17412.506532827647,10327.109376390174,15325.530506030796,10751.480735879188,0.16605994567647903,0.22851043581032854,0.028144557750286372,0.21014895612398107,10.86473452459069,10.209535066495905,11.36831157575986,10.391446456833973
30,7692.312056527814,8045.996252061528,8334.540630549402,7405.389031046813,2491029205.4252753,2508005187.4094157,2324599987.172084,2414812628.9445596,19350.399685985558,19304.515577486894,18779.713925108383,18935.13544918195,0.09333680007174387,0.24594151782391835,0.005942766913966798,0.140949471909835,14.18673740712981,13.830330570920694,19.140530914368526,13.110847428887611
60,8351.450647985048,8223.740221056174,10433.898835010505,7533.076069636211,2627724934.6126447,2564456188.9778495,2736021294.2547135,2336524895.753919,19912.053775624798,19671.908055649248,20371.831341484165,18797.53326331672,0.05737303682357721,0.1939778479671376,0.002266683864790532,0.08300872525821426,16.78031148918834,16.341096642725226,21.126928896394677,16.329274664127965
182,8459.463673266295,8938.847868882349,10244.348473367703,8671.0707596949,2843797579.260177,2896677993.763328,2569403282.47128,2846548502.594295,20716.982279214342,20910.366844879667,19759.308211896037,20738.77538481471,0.014033506846552591,0.2224506161599215,-0.017164858540390824,0.014737999506971152,18.20596244457909,18.46162768101288,22.108773596991977,18.56575686109999
365,8526.834060004714,8881.73895755311,9808.78467791354,8868.065455774127,2785364205.736867,2866121581.9275427,2334878399.1776342,2904706998.2389207,20527.66281634191,20827.183369340193,18841.435860355046,20945.257880724683,0.04276738249817225,0.19271061117678215,-0.0027652756052918624,0.04529421207484039,19.448110294494445,19.82279419624876,21.44909268651313,19.054691300931804
