,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,120.8530625333561,69279.07308870324,263.2091812393771,7.728991777958559
14,131.19572676325006,84900.39773935662,291.37672820483897,8.393034708297865
30,131.15636727541488,88682.70409134866,297.7964138322499,8.358312161899377
60,137.33257520121913,92724.86946398833,304.50758523227023,8.743482305961676
182,163.65104652816083,104795.16699794409,323.72081644210664,10.163893154316883
365,211.80224164049818,121349.77899608821,348.3529517545218,13.12328294648119
