,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,
7,6635.260634065364,6942.4292673378595,6079.10827196982,6975.50665572816,1864927832.6131685,2071177431.8929136,1829983566.6360016,2152829793.0855546,16735.456693414795,17629.617862837575,16554.545937353836,17957.91422275936,10.463345856860526,10.78443323132043,10.227421037433865,10.722402051843796
14,7236.79754569121,7823.668252428065,5621.560362707571,7610.528400290757,2475975654.0628285,2602628807.840809,1553340652.4191036,2591624146.899459,19283.326700423368,19755.916637120426,15321.431955412425,19714.166996649128,12.892342204789871,12.885355310402668,11.728915086309138,12.844245828480963
30,7915.143641337911,11213.621754424557,8336.988235901388,7518.549617795696,2534981482.5908995,3115445169.4036293,2324529524.6169844,2382565497.4944835,19548.380557042605,21641.441610077043,18781.272557519114,18957.460204402876,15.504568695792644,17.65588885114678,19.25341588839413,15.024770819199786
60,8545.978560501031,11906.262889179046,10435.325594430391,8603.193863986338,2675520665.5240035,3301007457.8334813,2735970110.5066824,2561053447.846789,20105.99760521309,22300.360105392883,20373.766245520812,19678.13398091344,17.47712391687294,19.618463654433054,21.2028769843912,17.317054309174853
182,8827.618890377735,15062.06821534564,10242.009008065737,9069.108552596368,2777351751.2771535,3619303866.289905,2569576166.0685997,2763655849.7047167,20484.81359364362,23364.50791640628,19757.067396299706,20444.176428473165,18.51801253380296,23.624422120358094,21.684005208814607,18.60368739639379
365,9319.508124416298,13825.708212857999,9812.88544285997,10457.927823314467,2781094867.6045904,3641173073.7460055,2335046459.577242,2920655083.39101,20521.516268663883,23458.419038747106,18844.103536657563,21016.647016165956,20.0763585829778,24.387838770353135,21.305617968109164,19.5257940826186
