,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,269.59454914766997,260331.7662284099,510.2271711977028,11.838250847138344
14,403.2637583832371,488678.2920505301,699.0552854034722,17.711362122997997
30,478.1429378812676,616667.5263912745,785.2818133582838,20.860049925505837
60,577.5228146447796,826106.4311644542,908.9039724659884,24.950356718539478
182,565.1021106954345,714464.9932767133,845.2603109555738,22.908503710385116
365,573.5994375148828,751574.9780385396,866.9342408963552,23.53146150564601
