,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,221.94016890786835,123184.1393063271,350.97598109603894,9.745684402352122
14,326.7628398414672,312697.07660949545,559.1932372708878,14.351438393507754
30,452.7919482567452,577611.9854022062,760.007885092126,19.754056576379273
60,572.9017837380107,822349.2857638714,906.8347621060142,24.750717212345783
182,561.4498892187698,711008.0087141591,843.2129082943163,22.76044740752269
365,572.1879272931648,738308.0640488911,859.2485461430185,23.473555419491035
