,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,692.5611801520952,2462346.3291451447,1569.1865182779084,7.498031985142931
14,769.8998656540005,2749838.152944468,1658.2635957363557,8.32281437778602
30,887.668693276378,3088944.7557648416,1757.539403758801,9.566565666584353
60,983.7599075844143,3279335.9449373395,1810.893686812492,10.605821653684472
182,959.8293281065244,3343344.6763648666,1828.4815220189857,10.300335884605218
365,998.9587947484121,3488876.209528926,1867.8533693866138,10.714109027766229
