,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,267.9412052458427,260308.6995306629,510.2045663561459,11.765650344241317
14,373.78334988828993,471506.40262091986,686.6632381458322,16.416581276632655
30,458.88902298588357,584909.7891578752,764.7939520928988,20.02005503243291
60,572.9098518779066,822355.5705874865,906.8382273523137,24.75106577514426
182,561.426118483798,710971.2919516827,843.1911360727665,22.759483772880394
365,572.2231710745515,738366.1536802506,859.2823480557777,23.475001267640057
