,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,23.579758774082983,1275.3546471225625,35.71210785045546,9.232876871003553
14,25.624964466245157,1352.1411027438342,36.77147131600576,10.044884830983976
30,30.2716461043221,1857.8603199546296,43.10290384596645,11.847733684329906
60,35.405401142424765,2994.198476214203,54.71926969737629,13.783865505469512
182,44.903357715666374,5090.466009758821,71.34750177657814,16.848257523490666
365,48.51733470329685,5271.185442164422,72.60292998333071,18.184493068486233
