,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,-0.007673601047026478,0.00890159875811348,0.004482448776577128,0.005462015684928992,121.78044072054841,125.0377646405059,119.3655857957094,121.73773858172659,71060.13861853212,76117.62748165205,66757.03095448305,71852.01715316613,266.57107611016636,275.89423241824403,258.3738201801472,268.0522657116819,7.78830097735836,7.996618658911118,7.633862244339971,7.785570020666518
14,0.0245614413471695,0.027126375993285063,0.006484174733497072,0.04077665803841542,127.97337061535522,136.1676139299459,120.1410404891882,130.38671028128627,81797.60971321608,86532.34597124254,67216.17362290165,79147.77894897533,286.0028141700988,294.16380805809973,259.2608216119467,281.33215057823617,8.186889678585251,8.71110315904186,7.685829009784712,8.341279185612585
30,0.15306717460316857,0.28114003220484746,0.011212127207567951,0.14807509540883468,111.08063270535165,124.35693186534688,170.73455325220328,112.18084303916949,53623.5131613892,74785.21010853961,98454.87828554552,54996.985422513084,231.5675131822018,273.46884668740535,313.77520342682516,234.5143608023037,7.078928934826137,7.924998821017651,10.88054451758094,7.149042964398842
60,0.08570280589470702,0.2691860303164933,-0.00653506447756495,0.08537297262488011,125.56278816572879,134.3454732921883,133.8786919771377,122.99465942771407,82155.56049369906,88361.8374572166,78955.90557132383,75262.1755316911,286.62791297028116,297.2571907577958,280.99093503407516,274.3395260105461,7.994141339050037,8.553304027796807,8.523585702316353,7.830637609892091
182,0.015766976466454783,0.3123316805114384,0.008452635828813148,0.15487562626844767,161.07076432884062,158.45496588024605,173.95348918189706,151.34979160257765,105789.51106015826,104467.12142323174,100609.74234216545,102656.63123547826,325.25299546684926,323.21373953350394,317.19038816169297,320.4007353853581,10.003639290145207,9.841179614458577,10.803748068675974,9.399897791133384
365,0.21070511460060456,0.1804596129323059,0.02106005905672913,0.12761599252470313,167.17442604297207,180.80214411283586,183.98578212616198,167.2002700245946,102585.47606593154,108240.90119642827,97797.1677237412,103382.15253409502,320.28967524091615,328.9998498425619,312.72538707904926,321.5309511292731,10.358140109306712,11.202514553885305,11.399773006508141,10.359741404366996
