,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,43768.38770259217,13048470266.28195,114229.90092914355,8.219052801937442
14,48284.68682508437,17680692624.787254,132968.76559849404,9.068699465062021
30,51976.03613844445,17433392484.59623,132035.57279989446,9.740667508724455
60,56480.305730442116,18735065376.4266,136876.09497800044,10.552361660593437
182,56900.064658820826,19902054336.741253,141074.64101227143,10.457024056518797
365,57262.91633305457,19492783293.726418,139616.5580929655,10.531372535097603
