,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,7500.46983655329,2175178661.627555,19471.547092464487,10.113090938045396
14,8294.6417498467,2947332907.4077916,22665.671355198243,12.25278960739306
30,8952.833360811206,2906193147.68454,22540.27578731926,14.233567824602865
60,9747.982684856432,3123232524.1176896,23400.48750277003,16.379730089194478
182,9832.468233669331,3317744957.569468,24111.20727689587,17.22749368182411
365,11853.92366713364,3899457284.4330797,28594.133983078653,19.788595449513906
