,mae,mse,rmse,wape
Model,informer,informer,informer,informer
Step,,,,
7,659.4724658920228,2181617.3752371687,1477.0299168389138,7.139796142621707
14,739.5709044792253,2601000.6683640718,1612.7618138969162,7.994950553684286
30,869.7790471832747,2935523.6974489554,1713.3370063851874,9.373765722868932
60,959.520728167721,3189972.904876587,1786.0495247547271,10.344501374271635
182,975.4403494572273,3308857.02604381,1819.0263950926633,10.467864380250578
365,1009.1375217354314,3436579.236448009,1853.8012936795596,10.823278686491001
