,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,0.0014651168315586234,-0.0017606398179291162,0.0063516433786966016,0.002582557453817212,156.24285367143167,157.01648828449598,154.5150129740961,157.8725194179805,85975.70883443042,88700.9834333292,82722.23398622268,88704.15305417284,293.21614695379657,297.82710325510874,287.6147318657768,297.83242445068475,14.41273377585716,14.484098254013272,14.2533478750456,14.563063458122402
14,-0.0007089711276960166,0.0023412765175539903,-0.0009181188384173558,0.013009648464141509,210.01265846355426,205.8285334056086,192.87940827596043,206.51439207954536,147387.49954552297,140460.79783706416,123499.0001502603,142725.92429944986,383.9107963388409,374.78099983465563,351.424245251036,377.79084729443866,19.37497330371792,18.988961756175023,17.794324463694977,19.05223648254088
30,0.0167172498394939,0.026849352539222666,0.0036812879564279465,0.006095832050515287,263.9478091225193,287.01777768724537,358.99337450577724,256.80877844461014,188469.04603323105,210450.76699419253,296225.90630055696,178400.8079979807,434.13021783012414,458.7491329628782,544.2663927715516,422.3751981331062,24.602209230857643,26.752529006064584,33.46127456577265,23.936790082173196
60,0.012040650037892977,0.00851035142128196,0.0006504471549281039,0.001213851773592951,308.8767491152277,326.1329999197251,427.59360837325187,330.2402559274459,230810.35850711985,256220.18555494174,414365.33164414804,298138.2209695021,480.4272666149579,506.1819688164936,643.7121496788359,546.0203484939935,28.78328830588211,30.391346029253075,39.84615268975254,30.7740887709937
182,-0.0009645779994460306,-0.004265692030457136,-0.013410660379996515,-0.013746276467384948,351.67555811340833,390.9112487867652,434.44167395642523,369.8751201468512,284665.4893422844,347861.95953593316,387731.6987094593,371913.3545016157,533.5405226805967,589.7982362943561,622.6810569701469,609.8469926970336,32.74292155199062,36.39597935517639,40.4489004740087,34.437400506224456
365,-0.003775135184933012,-0.005319996340029827,-0.0070370602268523905,-0.022871159319944743,376.60827358732854,437.7869522001208,417.87681132287315,382.98568322677977,322883.20055225596,414730.66950604506,365089.23647312744,319050.1747851974,568.2281236899983,643.9958614044388,604.2261467969815,564.8452662324412,35.84798589128974,41.67136408441534,39.776189444563286,36.45502855819762
