,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,
7,45074.76236370717,47156.91575225301,41270.44291520638,47432.04782939753,13051567104.602663,14495116226.636448,12807511559.48403,15066828557.560719,114243.45541256473,120395.66531497904,113170.27683753376,122747.010381356,8.464370550257911,8.855368015334234,7.749975890917658,8.907033730894135
14,48982.541822799496,53116.05802604753,37859.8247328459,51636.03862485939,17328288891.940575,18214878990.80442,10870631049.193867,18137877102.848656,131636.95868539572,134962.50957508318,104262.3184529956,134676.93604640942,9.19976870586286,9.97611455474484,7.110730023907566,9.698141308269035
30,53425.852877949095,76303.74597820087,55950.51033733444,50712.286740307674,17740787682.43794,21803648956.87763,16267243173.061949,16674061151.94394,133194.54824593212,147660.58701250522,127543.10319677011,129128.08041608897,10.012373161123216,14.299848054285846,10.485511374660517,9.503832158894921
60,57570.28237522991,80891.7853472517,70343.43729286043,58065.86983013228,18724097553.890232,23102035902.7345,19146573205.471645,17923063980.98165,136836.02432798987,151993.5390164151,138371.14296511267,133877.0479992058,10.75600481741866,15.113221561320522,13.142446400807195,10.848596703934675
182,59468.94098020889,102703.61613852892,68961.92566506531,61141.969292869195,19436867975.760548,25329789727.041626,17982144627.160843,19340893549.93057,139416.1682724086,159153.3528614513,134097.51909398191,139071.54112157732,10.929128994396269,18.874744538371598,12.67373807020194,11.236596084594272
365,62764.83428203035,93890.98223305,66065.26323041882,70734.82882047682,19462798764.237526,25482481381.767197,16340704523.37308,20439420104.37877,139509.13505658877,159632.3318810046,127830.76516775247,142966.49993749853,11.543244638173798,17.26773582105706,12.150235148034284,13.009027154364333
