,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,0.009927926558064524,0.01561333620512108,0.004289087323486238,0.009600407219267472,6443.8713447141645,6798.351124640923,5995.103878012781,6888.343200785516,1864445737.8442802,2087039831.9250865,1824222038.8468113,2160305192.800065,16721.25949724476,17679.022510221945,16528.495396293896,17977.821647957935,10.384402299526304,10.656495098357544,10.192655797326015,10.642185697874226
14,0.021528881801543404,0.019412866787899136,0.00645058589571444,0.01571398318627416,7128.00080750297,7510.9872259605745,5542.878524969176,7489.1219919249315,2526294798.5409884,2631285020.9418535,1556924669.8894432,2547682988.8096724,19464.45935644646,19851.972887222317,15337.752375172766,19543.47996501344,12.611060605346756,12.67899727702939,11.661630106044344,12.674090323142595
30,0.04105940053147528,0.1281474800299173,0.005499565738848776,0.04095368845672969,7698.137594453502,8092.4483950722815,8334.638524596934,7444.7949563591,2491035417.405278,2508325190.2013435,2324605916.3370304,2415092104.330481,19362.86332554792,19449.46337784615,18779.782032033214,19063.8729389002,14.975181351690631,15.638937897263759,19.14976303313291,14.522694876079182
60,0.017481923211764484,0.1379362740549297,0.001768792452779193,0.022845305191552496,8383.83127776449,8234.79427430042,10433.98471522467,8059.820363000609,2677072427.0346375,2564471003.6279783,2736028905.2006836,2535226314.4573183,20105.33666832615,19695.581329076096,20371.892919050326,19574.218676058277,17.272285723675772,17.303248063528134,21.136879700972454,17.04710043450105
182,0.013294660530549724,0.21872081316074135,-0.0172256792172868,0.014046507089014714,8459.500217490837,8939.85429715326,10244.43567128125,8671.249561518005,2843799079.502266,2896702607.3788376,2569413185.0714617,2846549317.526317,20717.015953579456,20911.546139279784,19759.359149327796,20738.802773750616,18.21771529502426,18.57698035289843,22.11066582065612,18.58488052859425
365,0.04211198208090474,0.17086040242540115,-0.002815127199421855,0.04334698149871923,8526.864028371758,8890.447650622635,9809.014306603514,8868.86852002849,2785364471.7860303,2866149990.133811,2334909723.298374,2904708447.6893377,20527.68827911061,20837.551928980272,18841.574727157215,20945.840242471186,19.45903887545044,20.61633770067031,21.449899140033136,19.113328681811684
