,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,
7,103.60670779830465,103.8909533678504,101.0078079756706,105.53540786383255,47054.25237779385,46616.20305701411,44403.997040833456,48519.53633461853,216.91992157889476,215.9078577935831,210.7225594017723,220.27150595258237,11.934667222691166,11.96741004749607,11.63529467059125,12.15683810277809
14,129.2610667963532,130.24448364738404,129.2448433677579,130.79652803847975,66600.70664027469,67489.41792546824,66331.12458617958,68677.14921745741,258.0711270953701,259.78725512516627,257.5482956382736,262.06325422969434,14.888063760550244,15.001331994707815,14.88619517439876,15.064915502851342
30,178.0439120985288,188.22103028876367,200.74936461459194,167.23042756221682,91904.31594453295,96193.52984740608,108735.21115218144,91797.73909561637,303.1572462345786,310.1508179054282,329.7502254012595,302.98141707968887,20.348420474741452,21.511550838005075,22.94339881138039,19.1125605818167
60,201.066016471703,200.01187254210012,246.9886477739715,201.57120740034514,111106.47309581374,108188.3123730629,150220.35586292332,120002.23612392269,333.3263762377855,328.91991787221235,387.5827084157952,346.41338906561145,22.87140798279765,22.75149833168099,28.09514123513267,22.92887382432044
182,240.85542943089013,244.1678697231627,257.54570713119966,224.1382388337476,143421.9563880138,147461.3277627315,151055.10140016334,125977.76565852389,378.7109140069953,384.0069371283955,388.65807774979197,354.93346652369075,26.247379207194545,26.60835457178526,28.06621322272213,24.42561234099215
365,265.5778778015496,275.75348567855144,286.2167968994929,234.3033355632175,177181.0975281487,189371.0987873166,185934.10363340034,143947.40212227797,420.92885090968605,435.1678972388894,431.20076951856237,379.4040091014827,28.44624195861476,29.536158807643403,30.656891773593227,25.096402721171618
