,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,504.63718519223545,493.0026293195615,438.6660327376606,488.915926476187,762736.5195105856,600368.7167802685,474461.41340022284,625542.5833538278,873.3478800057773,774.8346383456721,688.8115949954841,790.9125004409956,0.2713464172487826,0.33371409669875723,0.28118912545256886,0.300438899530335,5.46346786955762,5.337506041828431,4.749229437809957,5.293261245106404
14,640.2506573946322,559.2712074442843,661.3895584981809,553.0075232386723,1696181.1480997154,795515.1508520282,1960463.588484473,800981.6059036158,1302.375194826635,891.9165604763868,1400.1655575268494,894.975757159721,0.16839749432770226,0.28286665428664104,0.028500876318287016,0.28208412369690006,6.921273290812283,6.045864733909311,7.149790216043541,5.978152706293752
30,869.7660117985135,724.4068897238893,1009.3102060077994,645.5145145778362,2935553.2842010325,1202812.6287228195,3137493.5421401025,992387.3786594166,1713.3456406110918,1096.7281471371195,1771.2971354744811,996.1864176244407,0.02016820195808169,0.23100035147465878,0.0044120502547924855,0.22476676594424813,9.373625238175427,7.807063752908559,10.877518196669225,6.956826391667592
60,959.4899916022258,1029.2964320581648,1162.375476885948,898.2469698998236,3190048.4549289206,3414337.4440790606,3612373.5381551357,2997824.04765374,1786.0706746735752,1847.7925868665727,1900.6245126681745,1731.4225502902923,0.024670568291182353,0.013160213542360678,0.0019737194255932226,-0.007091370105826382,10.34417000629315,11.09674657710721,12.53145905563444,9.683914835594734
182,975.3625564372329,991.0688301429503,1069.2090209541561,970.9836410384939,3308922.8767239447,3392022.872359581,3187461.835692,3339111.9273984013,1819.0444955316361,1841.7445187537767,1785.346418959637,1827.3237062432045,-0.016183323301186544,-0.00863245235845823,-0.008955859809623943,-0.008156426169959916,10.467029550336598,10.63558023943002,11.474135790790745,10.420037550721148
365,1009.1056477333162,1029.4516885555277,1037.5095707916698,970.4276375470549,3436661.709818467,3534058.2060104697,3111437.0079124933,3490991.61522931,1853.8235379394844,1879.9090951454195,1763.9265880167727,1868.4195501089443,-0.010157428953272951,0.04209253802317899,0.017451113558996905,0.09038065837767667,10.822936829013386,11.041153737256789,11.127576750162614,10.40810448528591
