,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,
7,692.5611801520952,739.9265493639957,610.2662720758755,698.8895268017948,2462346.3291451447,2601507.908088879,1908162.4645178318,2466457.7332800245,1569.1865182779084,1612.919064333012,1381.3625391322264,1570.496015047483,7.498031985142931,8.01083441114801,6.607063980216086,7.566545997987398
14,769.8998656540005,779.8705928085893,680.7927484192651,770.2957149887513,2749838.152944468,2777423.218128386,2126056.805628178,2743530.9014881705,1658.2635957363557,1666.5602953773937,1458.1004099952027,1656.3607401433333,8.32281437778602,8.430600487410423,7.359543659646148,8.327093610296217
30,887.668693276378,942.0119906595999,1013.783067850614,832.6713642044572,3088944.7557648416,3350587.0903196577,3169986.021664045,2911480.557522285,1757.539403758801,1830.4608955997005,1780.4454559643339,1706.306114834699,9.566565666584353,10.152233187465873,10.925723035772998,8.973849528188937
60,983.7599075844143,1043.022835300275,1164.6742170125533,891.922020745183,3279335.9449373395,3586214.3028303096,3647053.805050609,3033619.6908466523,1810.893686812492,1893.7302613704808,1909.7261073385914,1741.7289372478865,10.605821653684472,11.244729620134285,12.556241553501021,9.615726162539886
182,959.8293281065244,982.586697290535,1059.7183321338766,963.1279589491014,3343344.6763648666,3438756.7069879468,3206958.2030272535,3389365.8769245516,1828.4815220189857,1854.3884994757561,1790.798202765251,1841.0230517091718,10.300335884605218,10.54455487185756,11.372287181082193,10.335734892160955
365,998.9587947484121,1074.68803555519,1055.936844577521,1066.8502670757625,3488876.209528926,3709491.1346072163,3200413.451948247,3893694.401562326,1867.8533693866138,1926.0039290217496,1788.969941599983,1973.2446380422084,10.714109027766229,11.526326054994193,11.325214351897559,11.442263822933734
