,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,
7,28.974471534895375,29.828541859659452,30.379224048914995,29.69646361418496,2694.779519194576,2867.1320978118483,3109.7104523031517,2863.2313340261185,51.91126582153989,53.54560764256811,55.764777882666685,53.50917056006492,11.345227516836212,11.679646805145126,11.895271608484483,11.627930322822818
14,31.556708403888788,33.128680004982364,31.873178034504573,33.41208070040555,3065.8337375021183,3489.57997119594,3119.0877370866906,3462.1552531677253,55.36997144212843,59.07266687052431,55.84879351505,58.840082028900376,12.370105019250193,12.986311676292098,12.494159864135034,13.097403629231053
30,36.70539163164219,38.02179940604742,48.87915267923283,34.767122067205165,3760.6275495147447,3846.357230999668,5033.612197711876,3503.4334261674335,61.32395575559966,62.01900701397651,70.94795414747261,59.18980846537209,14.365776586184321,14.880992992896601,19.130349953997644,13.607175566314003
60,39.24508256356326,45.60299949484083,42.44910050701407,36.47195694852698,4224.876932591665,4559.310096615006,4192.11663965687,3763.0244314932183,64.99905332073433,67.52266357760931,64.74655697144729,61.343495429370655,15.278712353268805,17.753946895115757,16.526085663120035,14.199092033372759
182,43.61667117973321,68.53629901757714,47.8072841586928,42.97587905767275,4746.817784020775,7801.221230080281,4706.043209969882,4591.3756693727155,68.89715367140195,88.3245222465442,68.60060648398002,67.75969059383843,16.365477900490514,25.71560957349587,17.937844205430785,16.125045308347595
365,46.59236363398651,63.10373382679691,47.852402358245335,44.52777273770487,4974.454914168599,7231.809907211351,4504.774112440781,4694.169897122302,70.52981578147357,85.04004884295017,67.11761402523767,68.51401241441273,17.46300613436304,23.651534392531527,17.935273739074475,16.68918912499336
