,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,43768.391526321124,29105.32417099753,25073.577359547977,29002.868681897042,13048467856.214922,2827739273.8536863,2266038437.882,2740436756.754138,114229.89037994793,53176.491740746555,47602.92467781786,52349.18105141797,0.028982312249257534,0.382798393264153,0.39245679017635543,0.38853855127204556,8.219053519976917,5.465547367301517,4.708445228823973,5.446307748961285
14,43222.55695921617,31882.460890621707,37318.659812438076,33719.45082893156,14223811988.534634,4926399243.6238,10895705341.659327,5345466066.754896,119263.62391162962,70188.31272814442,104382.49537953826,73112.69429281687,0.11759260849346682,0.3997585273555711,0.014293909816711962,0.34697835606820077,8.11794390620388,5.988077691609564,7.009089890214845,6.333096180208736
30,51976.035995180246,54628.16352401464,55946.56753114528,50265.176135832844,17433393093.497295,17554139814.68904,16267773961.962088,16902021924.416029,132035.57510571647,132492.0367972696,127545.18400144353,130007.77639978321,0.027136990888679755,0.2840697029524435,7.046953040084275e-05,0.00881661295938866,9.740667481875755,10.237694465239787,10.484772465597931,9.420040549118955
60,56278.75061595077,55353.511886446424,70341.13838609988,50634.24045288571,18389670602.856514,17946683255.0261,19146974054.11518,16351493343.055674,135608.5196543953,133965.23151559176,138372.59141215496,127872.95782555307,0.022434000772503283,0.3157091087948517,3.2681183192416004e-05,0.12798618877125745,10.514704597035642,10.341839851176884,13.142016890108774,9.460126158281646
182,56900.05568812354,60206.70792703042,68948.50902614172,58365.116718005986,19902043756.36995,20272089338.15002,17980933217.658707,19921187468.113224,141074.60351307018,142380.0875760021,134093.00212038922,141142.43680804587,0.04319709162031776,0.41378200504817403,0.00019455139621176858,0.04541647262884392,10.457022407895062,11.064714898512129,12.671272376765156,10.72626952607692
365,57262.91646242689,59655.688830019215,66052.61203954765,59712.986817086705,19492781377.510723,20057886470.817127,16339612044.461662,20328185690.61105,139616.5512305426,141625.86794373803,127826.49195085368,142576.94656083448,0.08765924235346334,0.36462813135828315,0.000191495352512938,0.15581916556783174,10.531372558890803,10.971433575836535,12.1479084344715,10.98197139832202
