,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,23.579758774082983,23.469850148844838,24.49347289912585,23.442676842557518,1275.3546471225625,1221.7507486414074,1514.7345542941553,1223.094398699496,35.71210785045546,34.95355130228411,38.91959088035427,34.972766529107986,0.18618847816828257,0.21317474185401603,0.1937426426794912,0.21059028619960754,9.232876871003553,9.189841112512232,9.590650251666377,9.179201148230467
14,25.624964466245157,26.537323132274658,31.286948477082095,27.133178172899985,1352.1411027438342,1488.9170162887299,2870.834649612141,1524.8367976496806,36.77147131600576,38.58648748316864,53.580170302194276,39.04915873165107,0.18797093352463376,0.19896225481113053,0.018392566840615947,0.1879231222923914,10.044884830983976,10.402525823496909,12.264360193716591,10.636098645302258
30,30.2716461043221,28.473931359192125,48.37863000745434,28.415289809915002,1857.8603199546296,1664.0263595919573,4973.082725814215,1584.4923340780229,43.10290384596645,40.792479203793896,70.5200873922758,39.805682183301705,0.17528066698990966,0.2511156282976101,0.010240003034896033,0.18269652129998026,11.847733684329906,11.144143087793038,18.934455112410085,11.12119192563035
60,35.405401142424765,31.27538316750432,42.347905079033765,30.41122572179156,2994.198476214203,2136.63353268944,4185.751126399938,1885.7964729208554,54.71926969737629,46.22373343521097,64.69738114019715,43.425758173241555,0.09783853594700832,0.31418144609012894,0.00238392396473953,0.16617510366358884,13.783865505469512,12.175986185800937,16.486688731464387,11.839556442798202
182,44.903357715666374,41.29358119485709,50.427347818241955,45.04983336085596,5090.466009758821,4263.582338225003,5235.185100641694,5009.300611713506,71.34750177657814,65.29611273441171,72.3545789887668,70.77641282032812,-0.029499879315206246,0.39749327310091914,-0.05480469567884347,-0.048258566169176204,16.848257523490666,15.493827754341662,18.92092229824393,16.90321687434145
365,48.51733470329685,42.83235533265334,49.48959671114364,45.95389602469365,5271.185442164422,4343.948023040266,4854.952037002654,4979.461331073067,72.60292998333071,65.90863390361133,69.67748586884184,70.56529834892692,-0.04131516238223596,0.3212389705779241,-0.03421342027180803,-0.03202772560373708,18.184493068486233,16.05373983168633,18.54890079719935,17.22370589483752
