,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,88.61878116999831,85.5061250151026,84.09689014266743,86.04689621087122,31235.27047869882,28293.88534726308,26991.28799140017,29660.580308135493,176.73502900867962,168.2078635119746,164.2902553147939,172.2224732958376,0.14466174002443877,0.17696274561705086,0.16742188719783369,0.1846632523380821,10.208177495644026,9.849624307566087,9.687291678737969,9.91191684057157
14,108.48329910175335,104.4019775399207,113.88056466238841,108.19900593065704,45957.494777609514,40057.150233011336,50832.59366216671,46013.92325132985,214.3769921834186,200.14282458537286,225.46084729319793,214.50856218652405,0.16074265987093062,0.19841535997353849,0.11887730531462234,0.1727685164637904,12.494916791351388,12.024837306895304,13.116564405678698,12.462172400771362
30,159.06993002902067,150.5996827725543,199.6946460159347,150.90366463692772,80903.30838532637,70260.3221253932,108827.58770613784,79421.1471177334,284.43506883878854,265.0666371412917,329.890266158518,281.81757773022855,0.10656911458454144,0.19987855479534727,0.005253907531324665,0.09763033655591685,18.1799073215543,17.211853145097983,22.822856315571098,17.246594859768592
60,197.34749803483723,182.1273439387919,243.5802005888735,204.2073378186207,112831.60449338032,99124.70900981501,145236.92297165215,126347.13469613895,335.904159684545,314.8407677061772,381.09962342103165,355.4534212750511,0.018494017547659974,0.08941733496117202,0.013800015570825728,-0.013077911534457714,22.448423762224092,20.717119984488523,27.70742784862329,23.228735607779647
182,221.69579242594833,209.09739927470545,270.8440344340492,232.30673236219926,123808.95190293172,118077.2001277604,160711.93347296832,131842.15362618543,351.86496259635135,343.62363150365604,400.88892909753486,363.1007485894038,0.07954828774345472,0.14363261836301444,-0.05163482416763822,-0.03644399800299381,24.159445133509063,22.78652693430826,29.51540720752883,25.31577930836916
365,251.19604400393456,245.85347137903454,293.564297229243,233.40599624123647,162257.422824755,159028.50513879876,191760.60259756373,141949.87863291285,402.81189508845813,398.78378244206317,437.9047871370713,376.7623636098925,0.05415298110169303,0.10843023153793109,-0.02567110110008739,0.003829818810833466,26.905793155415708,26.33354626938953,31.44388794172757,25.00028804594582
