,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,221.94016890786835,241.05293671523512,225.26484110263067,228.9924888950377,123184.1393063271,169999.61320329434,131227.64491375297,138752.3207610395,350.97598109603894,412.3100935015954,362.2535643906806,372.494725816406,0.1767631444718083,0.1498502965812787,0.1539537083372577,0.18707553254827955,9.745684402352122,10.584951147180792,9.891675126387657,10.055361038346227
14,326.7628398414672,286.59414913662374,334.1864903204352,289.35341722597826,312697.07660949545,201364.50399235447,369103.70851256925,212169.76631786514,559.1932372708878,448.736564135746,607.5390592485139,460.61889487716974,0.18970442285336261,0.2041263929045464,0.0040914401295055886,0.19172744805767739,14.351438393507754,12.587227719252034,14.677485451231743,12.708414895905154
30,452.7919482567452,413.6396086262288,608.2890703247477,398.46075827996464,577611.9854022062,388541.29744108516,780077.6282935463,388546.97917663225,760.007885092126,623.3308089939765,883.2200339063569,623.3353665376546,0.05301968849912737,0.2552709780378813,0.006072308779189456,0.19148201524260913,19.754056576379273,18.04594861391107,26.537964635304697,17.38373748215641
60,572.9017837380107,546.1188633757658,686.4106737450372,536.4669790857581,822349.2857638714,708648.6088415348,919902.4012374717,726818.6705573333,906.8347621060142,841.8126922549545,959.1154264411931,852.5366095114821,0.00800146901488409,0.16066282412552155,0.0035390162890897455,0.044421104868903216,24.750717212345783,23.593631466022032,29.65457074779913,23.176647149671037
182,561.4498892187698,579.5451031304232,763.1786452253262,563.9105446363045,711008.0087141591,697096.3599761453,1048085.6257759552,701609.4514295653,843.2129082943163,834.922966492206,1023.7605314603387,837.6213055012183,0.006462940781038817,0.28968275095586205,-0.00031665669816335245,0.0065053833994721975,22.76044740752269,23.494003816514304,30.938268491539585,22.86019917396575
365,572.1879272931648,622.0585676083994,626.4686122147325,566.484425459499,738308.0640488911,809653.2468787282,765826.5157585903,705292.2404637652,859.2485461430185,899.8073387557629,875.1151442859335,839.8167898201162,0.002460794291977283,0.24078617069012406,0.008796421110896915,-0.013564238855596543,23.473555419491035,25.51945884283498,25.700377421384697,23.239573785150945
