RS
SENSE ESPECIFICAR
BARCELONA CIUTAT
BARCELONA METROPOLITANA NORD
BARCELONA METROPOLITANA SUD
PENEDÈS
CATALUNYA CENTRAL
ALT PIRINEU i ARAN
GIRONA
TERRES DE L'EBRE
CAMP DE TARRAGONA
LLEIDA
No informat a l'historic
