ICD10_3,feature_name
A09
B34
B35
B37
E66
E78
F41
H10
H60
H61
H65
H66
I10
I16
J00
J00,RESPIRATORI
J02
J02,RESPIRATORI
J03
J03,RESPIRATORI
J11
J20
J20,RESPIRATORI
J22
J22,RESPIRATORI
J30
J30,RESPIRATORI
J40
J40,RESPIRATORI
K02
K04
K08
L30
M25
M54
M77
M79
N30
N39
R05
R07
R10
R11
R42
R50
R51
R53
T14
U07
Z00
Z01
Z02
Z11
Z20
Z30
Z34
Z71
