,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,0.009927926558064524,0.01561333620512108,0.003945327980951177,0.009600407219267472,6443.8713447141645,6798.351124640923,6968.53535551923,6888.343200785516,1864445737.8442802,2087039831.9250865,2128245258.2822819,2160305192.800065,16721.25949724476,17679.022510221945,19235.30884036525,17977.821647957935,10.384402299526304,10.656495098357544,9.51587378437275,10.642185697874226
14,0.021528881801543404,0.019412866787899136,0.007678703351403073,0.01571398318627416,7128.00080750297,7510.9872259605745,6434.545044418046,7489.1219919249315,2526294798.5409884,2631285020.9418535,1816391531.7043254,2547682988.8096724,19464.45935644646,19851.972887222317,17835.47373015972,19543.47996501344,12.611060605346756,12.67899727702939,10.639514379769238,12.674090323142595
30,0.04105940053147528,0.1281474800299173,0.005802612035918913,0.04095368845672969,7698.137594453502,8092.4483950722815,9663.912716278794,7444.7949563591,2491035417.405278,2508325190.2013435,2711990864.742152,2415092104.330481,19362.86332554792,19449.46337784615,21819.03463857682,19063.8729389002,14.975181351690631,15.638937897263759,16.76451111102629,14.522694876079182
60,0.017481923211764484,0.1379362740549297,0.0019551833357543745,0.022845305191552496,8383.83127776449,8234.79427430042,12101.716566366573,8059.820363000609,2677072427.0346375,2564471003.6279783,3191964661.8455234,2535226314.4573183,20105.33666832615,19695.581329076096,23659.923047278906,19574.218676058277,17.272285723675772,17.303248063528134,18.018667536175773,17.04710043450105
182,0.013294660530549724,0.21872081316074135,-0.017861515690168518,0.014046507089014714,8459.500217490837,8939.85429715326,11879.434670835386,8671.249561518005,2843799079.502266,2896702607.3788376,2997584093.9669204,2846549317.526317,20717.015953579456,20911.546139279784,22948.805498054073,20738.802773750616,18.21771529502426,18.57698035289843,19.054293378430685,18.58488052859425
365,0.04211198208090474,0.15288658196803212,-0.002111471694850099,0.043336697466536026,8526.864028371758,8904.911192509133,11374.203889150289,8867.584606957042,2785364471.7860303,2866179388.5739856,2724000495.6420245,2904707420.755152,20527.68827911061,20852.718413067476,21881.13282388392,20944.459700874977,19.45903887545044,21.209693023004654,18.395517422611444,18.97580780775931
