,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,6405.570244745727,4311.595445732856,4321.781053259118,4294.199491052484,1864210861.4081395,404090355.56953895,377781999.2484266,391617332.3669907,16582.055133842216,7854.15353616241,8166.05816390552,7731.899191094353,0.1659430336660234,0.2340083861691121,0.247216078826647,0.23834302487236522,8.825592782636525,8.495461684187239,7.339497247222731,8.378497474369022
14,6373.527584365786,4736.641122907832,6429.903327756474,4999.573310089654,2032287939.641867,703941004.8804611,1816359268.1426222,763811970.1608683,17412.506532827647,10327.109376390174,17821.34629654371,10751.480735879188,0.16605994567647903,0.22851043581032854,0.03194490143097445,0.21014895612398107,10.86473452459069,10.209535066495905,10.315859630785916,10.391446456833973
30,7692.312056527814,8045.996252061528,9663.820945710817,7405.389031046813,2491029205.4252753,2508005187.4094157,2711983950.0308905,2414812628.9445596,19350.399685985558,19304.515577486894,21818.957613018614,18935.13544918195,0.09333680007174387,0.24594151782391835,0.006257404414045008,0.140949471909835,14.18673740712981,13.830330570920694,16.75583182823922,13.110847428887611
60,8351.450647985048,8223.740221056174,12101.623668159635,7533.076069636211,2627724934.6126447,2564456188.9778495,3191955784.6005707,2336524895.753919,19912.053775624798,19671.908055649248,23659.85290943278,18797.53326331672,0.05737303682357721,0.1939778479671376,0.002519006275639515,0.08300872525821426,16.78031148918834,16.341096642725226,18.007738098175384,16.329274664127965
182,8459.463673266295,8938.847868882349,11879.351989102368,8671.0707596949,2843797579.260177,2896677993.763328,2997572552.5416083,2846548502.594295,20716.982279214342,20910.366844879667,22948.75539263981,20738.77538481471,0.014033506846552591,0.2224506161599215,-0.017834993722310986,0.014737999506971152,18.20596244457909,18.46162768101288,19.053859365906053,18.56575686109999
365,8526.834060004714,10258.352355877229,11373.93648934784,10307.175365696276,2785364205.736867,3343673570.0409865,2723963952.7004313,3388801172.9656353,20527.66281634191,24148.41270777093,21880.97235669821,24373.340466910482,0.04276738249817225,0.18469801792455845,-0.002054517255966426,0.05220494428550821,19.448110294494445,18.87335008848439,18.394624185340444,18.063758510096136
