,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,
7,120.8530625333561,126.16079743830532,119.90304505331652,122.40632384248876,69279.07308870324,74860.5777823137,66131.09893055547,70803.60970608865,263.2091812393771,273.6066113644071,257.1596759419242,266.08947687965536,7.728991777958559,8.068440680452143,7.668234713650684,7.828328473575967
14,131.19572676325006,139.964339221315,120.92514022809983,135.92945936308132,84900.39773935662,92381.98101266808,66763.15640620438,90176.54848777819,291.37672820483897,303.9440425681479,258.3856737634739,300.2941033183605,8.393034708297865,8.953992526969497,7.735990524079522,8.695867605301293
30,131.15636727541488,172.99187245990004,172.67055750798448,131.67926237935788,88682.70409134866,107901.0677970875,98599.63292214129,83986.49855089249,297.7964138322499,328.4829794633011,314.0057848545808,289.8042417751895,8.358312161899377,11.02439859785873,11.00392188958915,8.391635138110717
60,137.33257520121913,183.82991960371152,133.00946653719063,134.47520764906255,92724.86946398833,112175.32069677043,77228.23389247172,89319.05413514945,304.50758523227023,334.92584357850086,277.89968314568426,298.8629353652765,8.743482305961676,11.703804774696607,8.468245174091834,8.56156375825146
182,163.65104652816083,230.42353615779987,175.43638908999677,179.08582015486022,104795.16699794409,125245.25851244868,99383.49631121881,110006.50121712507,323.72081644210664,353.90006853976263,315.2514810611027,331.6722798443142,10.163893154316883,14.310939351950575,10.895846692816933,11.122502300613087
365,211.80224164049818,220.6140746275407,187.94389158223535,191.65902697881492,121349.77899608821,123464.47233143057,98044.00343611518,112191.22612986875,348.3529517545218,351.37511626669095,313.119790872623,334.94958744543743,13.12328294648119,13.669264786288046,11.645017768427893,11.875207839204172
