,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,0.006132705231075179,0.00806863320763741,-0.0035297720734768917,0.0103888142895857,267.9412052458427,281.25395800730996,267.1957514329544,278.7633261483247,260308.6995306629,312675.88137835223,268290.9013875924,302879.58394280536,510.2045663561459,559.1742853336089,517.9680505471283,550.3449681270879,11.765650344241317,12.350230808328739,11.732916487938114,12.240863891201672
14,0.07310453241109452,0.01732691285355737,0.004068901135521883,0.012031587466227723,373.78334988828993,353.86065674171397,334.1940534919936,353.68272198654535,471506.40262091986,434339.22546494874,369102.3074021633,441019.76215956325,686.6632381458322,659.0441756551292,607.5379061442695,664.0931878581223,16.416581276632655,15.541575711542821,14.677817626061449,15.533760809217616
30,0.04026811518058047,0.14955313511402193,0.0060670089636944025,0.06285114127377588,458.88902298588357,472.3577274080407,608.2923138402156,461.85372732469847,584909.7891578752,607865.2283299145,780085.0421808229,580457.0282373528,764.7939520928988,779.65712228512,883.2242309746846,761.8773052384175,20.02005503243291,20.607657241770248,26.53810614088646,20.149396858113906
60,0.007987498761776768,0.11790309705037008,0.0035335145927901522,0.05234537782980882,572.9098518779066,573.9406901931114,686.41446358039,532.0182508871254,822355.5705874865,758885.2972795953,919909.023902631,721081.7376814921,906.8382273523137,871.1402282523723,959.1188789209766,849.1653182281364,24.75106577514426,24.795600437726065,29.654734477684013,22.98445152954132
182,0.006505005276148626,0.2895044681790698,-0.0003151157538185007,0.006497014209588752,561.426118483798,579.6905633602029,763.1774695817842,563.9152950137565,710971.2919516827,697105.8373484417,1048087.0849158692,701611.3211157053,843.1911360727665,834.928642069753,1023.7612440974063,837.622421569352,22.759483772880394,23.499900584816093,30.938220832481278,22.860391748081877
365,0.0023993510982053034,0.22190929688018945,0.008783955763608046,-0.01819356193942328,572.2231710745515,637.5252525261469,626.4764906657219,569.0717695338805,738366.1536802506,839254.4529418515,765838.2273390793,708570.3389653185,859.2823480557777,916.1083194370912,875.1218357115079,841.7662020806719,23.475001267640057,26.153967311564934,25.70070062858132,23.34571752153944
