,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,0.02898239708007538,0.020083508679577675,0.014097720216329344,0.012133048992590042,43768.38770259217,46209.83942544052,40688.62375778381,46856.55246926458,13048470266.28195,14606528274.726,12767198847.547276,15119392992.559603,114229.90092914355,120857.47090985315,112992.03001781707,122960.94092255314,8.219052801937442,8.677521154937413,7.640718899124205,8.798964254258545
14,0.014247014788242415,0.04046681585249003,0.01433019956007625,0.015801702443907297,48284.68682508437,50966.62028709729,37317.285889114704,50820.10130712726,17680692624.787254,18415654999.49021,10895727145.860418,17830391235.398537,132968.76559849404,135704.29248734252,104382.59982324841,133530.48803699677,9.068699465062021,9.572412964134635,7.008831843647146,9.544894165056801
30,0.027136988207127764,0.2840675940907857,6.515131225682688e-05,0.008812155369802455,51976.03613844445,54628.32443805888,55946.86508816452,50265.40219039411,17433392484.59623,17554123438.54492,16267815375.621208,16901996144.910149,132035.57279989446,132491.97499677073,127545.34635031264,130007.67725373048,9.740667508724455,10.237724621641062,10.484828229834772,9.420082913302217
60,0.01893297374648215,0.315707686214148,2.9237678888820606e-05,0.0650120246841217,56480.305730442116,55353.62696153935,70341.38061402892,54290.89006743072,18735065376.4266,17946673985.92257,19147027165.577732,17742361415.90836,136876.09497800044,133965.1969204038,138372.78332669951,133200.45576464204,10.552361660593437,10.341861350954249,13.142062146179514,10.143307467230391
182,0.04319694077355408,0.41377863504480433,0.00018828805499679333,0.04541622509082006,56900.064658820826,60207.054038562885,68948.940958213,58365.13185296824,19902054336.741253,20272254423.25636,17981002366.206944,19921193078.41833,141074.64101227143,142380.6673086496,134093.25995816098,141142.4566826663,10.457024056518797,11.064778506464823,12.671351756711157,10.72627230756171
365,0.08765924441468631,0.3646253935528044,0.00016908913195409886,0.15581912035358295,57262.91633305457,59655.94588526478,66054.09231240686,59712.99001530885,19492783293.726418,20057989746.61749,16339831008.590801,20328190277.026016,139616.5580929655,141626.2325510973,127827.34843761253,142576.9626448327,10.531372535097603,10.971480851538272,12.148180675320068,10.981971986515411
