,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,0.04777731586515675,0.07957338800445908,0.010440148891289459,0.044414020655076214,659.4724658920228,681.048086956654,603.8950013320712,667.8490329228034,2181617.3752371687,2222596.7963991803,1889018.627757517,2228183.0038202414,1477.0299168389138,1490.8376157044,1374.415740508496,1492.7099530117166,7.139796142621707,7.373385176310257,6.538085248528357,7.2304852677452
14,0.039393384163032494,0.03573829402336565,0.006010446694489893,0.027501675881644743,739.5709044792253,751.9993482626195,676.7008798948958,749.1112919021109,2601000.6683640718,2608797.624926895,2119233.739341874,2654162.792905486,1612.7618138969162,1615.1772735297184,1455.7588190843544,1629.160149557276,7.994950553684286,8.129305208397819,7.315309514784077,8.098084580789736
30,0.02015351699187769,0.02063975165227023,0.004416014670235831,0.020399700051344144,869.7790471832747,922.569097118925,1009.306186950549,815.6851181333427,2935523.6974489554,3164022.9799342104,3137429.61036718,2733874.837517004,1713.3370063851874,1778.7700750614765,1771.2790887850451,1653.44332757945,9.373765722868932,9.942693615760641,10.877474882564089,8.790785689507988
60,0.024639324320719403,0.01291910761773029,0.001959489514392644,-0.007121283364420088,959.520728167721,1029.5479110432805,1162.3920500966337,898.2736501938756,3189972.904876587,3414074.7919190065,3612432.0640050243,2997761.310867283,1786.0495247547271,1847.721513626717,1900.6399090845757,1731.4044330737065,10.344501374271635,11.099457748039491,12.531637729836756,9.684202473298
182,-0.016264372106131728,-0.009172148029773584,-0.008996832317281166,-0.008183641404956433,975.4403494572273,991.5991279301701,1069.252440271634,971.0098527922285,3308857.02604381,3391738.875165283,3187548.9938334995,3339083.0730475187,1819.0263950926633,1841.667417088461,1785.3708281008458,1827.3158109772703,10.467864380250578,10.64127109005031,11.474601741914354,10.420318840175096
365,-0.010189336177357391,0.04173878981918559,0.01736243834651059,0.0903852432961769,1009.1375217354314,1029.8318575179585,1037.6032062157349,970.4227461255284,3436579.236448009,3533969.995460536,3111705.1989458497,3490917.1101906365,1853.8012936795596,1879.8856336119322,1764.002607409028,1868.3996120184345,10.823278686491001,11.045231154397385,11.128581015951722,10.408052023438826
