,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,seasonal_mae_improve,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,87.47705085934349,86.07301479962652,84.58772312464797,83.86814642016178,21408.941987650418,20034.508383127133,19362.52769993836,19206.08351788566,146.31794827583667,141.54330921356592,139.14930003395045,138.58601487121874,0.27617017702634256,0.3177515000908454,0.29453231911637534,0.31483812447400616,5.594474750404597,5.504681550844472,5.409691759910453,5.3636722191888495
14,96.35528561535247,106.15605475100676,120.01659214268652,107.57795018473948,26937.3658730314,32452.70057818142,66996.47109852846,36746.06371405408,164.12606701262112,180.14633101504293,258.8367653532405,191.692628220425,0.26556079231733737,0.24154927361068557,0.007513310166103843,0.20857516325884956,6.1641737612153715,6.791162136164508,7.677867627830072,6.882125599848234
30,101.10685957009692,93.11674385197118,170.6855907636894,98.56707277950598,38134.57960954275,24629.69080150141,98366.38239001916,33782.878490584415,195.28077122323833,156.93849368941136,313.6341537365138,183.80119284320332,0.22911207690143695,0.4617276376752562,0.011495687353666567,0.2514609286347475,6.443321903096072,5.934129076479009,10.87742424388227,6.281466773517419
60,107.37081051984613,102.81326353184299,133.88936655903916,100.41530863249713,44899.00382693431,34733.55461447312,78954.87475216258,34157.06322402307,211.8938503754517,186.3694036436054,280.9891007711199,184.81629588329886,0.21816939380531636,0.4407152886021977,-0.006615318779603553,0.25328013700079877,6.835922071522509,6.545759075672413,8.52426531542229,6.393089716620456
182,161.0712496441112,158.5029279836013,173.9438600407072,151.3614083191876,105784.06963780664,104455.39463906518,100603.0109018307,102652.64901564286,325.24463045192095,323.19559811214197,317.179776943346,320.3945208889235,0.015764010917007576,0.31212353292306705,0.008507522624191285,0.1548107595101532,10.003669431672932,9.844158401972013,10.803150030568075,9.400619271801748
365,167.17739161277134,181.0171074877564,183.97481959258758,167.2393032699587,102584.99298471128,108255.1380301351,97792.66262111382,103383.77056565709,320.2889211082882,329.0214856664153,312.7181840269507,321.5334672559874,0.21069111300281076,0.17948522643732162,0.021118387813690104,0.12741233269203367,10.358323856236263,11.215833700889432,11.399093767096918,10.362159907208444
