,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,,,,,
7,-0.0006861095917755162,-0.0004907269333957258,0.007947408049210418,-0.005608796345335585,28.994351197732094,29.84317952853391,30.13778795917988,29.863025030773592,2741.561157934807,2903.583474284807,3099.5600921374125,2903.6330036506465,52.359919384342135,53.884909522841426,55.67369299891478,53.885369105636144,11.353011586256388,11.685378322404961,11.80073503115567,11.693149015921282
14,-0.008450886008109405,0.007618545000895887,-0.0021348642795501137,-0.0003740956221958207,31.8233905494012,32.876287665544126,31.941222943766178,33.42458001352402,3127.4792518548306,3390.824842649351,3132.910380886811,3410.4828553732755,55.923870143748374,58.23078947300432,55.972407317238115,58.39933951144718,12.474643366676219,12.88737487639061,12.520833199731968,13.102303310590885
30,-0.015314447527630982,0.07748950247202936,0.008365665655917566,0.048312269755541204,37.26751442576612,35.075509086981505,48.47024603037382,33.08744348727052,3875.4652095316915,3604.566528283768,4992.479375722692,2951.3525573080324,62.25323453067874,60.03804234219973,70.65747926244391,54.32635232838693,14.585780517907112,13.727872249587293,18.970311842401795,12.949782029743231
60,-0.037588882732890176,0.1853481981900901,-0.0002765505688472299,-0.007005818179949711,40.72026136988763,37.15056570640849,42.46083982990634,36.727472847575314,4473.885073124115,3959.008112197839,4200.672167272903,3873.9409974860328,66.88710692744989,62.92064933070732,64.81259265970543,62.24099129581752,15.853022080225381,14.463284827343509,16.53065596151099,14.298568290478938
182,-0.03474088212550825,0.3854587316622836,-0.05481801616165535,-0.04992506856659939,45.131952811895374,42.11838412543484,50.427984634348874,45.121452766336944,5125.357160623333,4455.025670145445,5235.406889591885,5019.938186077077,71.59159979092053,66.74597868145649,72.35611162570778,70.85152211545689,16.934029039159068,15.803303323373669,18.921161238989352,16.930089301006372
365,-0.045944708861395796,0.28520015443793506,-0.03435648913024696,-0.03316186211366898,48.733036216314304,45.10653919378409,49.496442899722595,46.00439659746143,5299.848299557056,4695.921560342383,4855.94606126446,4986.26506125397,72.80005700243,68.52679447006392,69.68461854142892,70.61349064629202,18.265338867051124,16.906113131087405,18.55146677633899,17.242633713545334
