,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,
7,6635.260634065364,6942.4292673378595,7066.375865508603,6975.50665572816,1864927832.6131685,2071177431.8929136,2134966957.1682527,2152829793.0855546,16735.456693414795,17629.617862837575,19265.556137697757,17957.91422275936,10.463345856860526,10.78443323132043,9.541248083412937,10.722402051843796
14,7236.79754569121,7823.668252428065,6526.370009076378,7610.528400290757,2475975654.0628285,2602628807.840809,1812210184.93628,2591624146.899459,19283.326700423368,19755.916637120426,17816.443125837068,19714.166996649128,12.892342204789871,12.885355310402668,10.720733909857957,12.844245828480963
30,7915.143641337911,11213.621754424557,9666.432972634444,7518.549617795696,2534981482.5908995,3115445169.4036293,2711901536.9847093,2382565497.4944835,19548.380557042605,21641.441610077043,21820.586292881864,18957.460204402876,15.504568695792644,17.65588885114678,16.86483348786871,15.024770819199786
60,8545.978560501031,11906.262889179046,12103.234540761461,8603.193863986338,2675520665.5240035,3301007457.8334813,3191896042.0347953,2561053447.846789,20105.99760521309,22300.360105392883,23662.088400542812,19678.13398091344,17.47712391687294,19.618463654433054,18.09134191919856,17.317054309174853
182,8827.618890377735,15062.06821534564,11877.561738945886,9069.108552596368,2777351751.2771535,3619303866.289905,2997775913.031979,2763655849.7047167,20484.81359364362,23364.50791640628,22947.485255719173,20444.176428473165,18.51801253380296,23.624422120358094,18.645734025848267,18.60368739639379
365,9319.508124416298,13825.416999223899,11379.206894039691,10456.636641802605,2781094867.6045904,3641172528.538891,2724161474.1251264,2920654349.847287,20521.516268663883,23458.178158377217,21885.29258380718,21015.671532669243,20.0763585829778,24.375891962227758,18.273514635269358,19.387494680564174
