,mae,mae,mae,mse,mse,mse,rmse,rmse,rmse,wape,wape,wape
Model,informer,log_transformer,our_transformer,informer,log_transformer,our_transformer,informer,log_transformer,our_transformer,informer,log_transformer,our_transformer
Step,,,,,,,,,,,,
7,156.47210358406207,156.7405246756689,158.2812899431229,86017.4891580431,88651.40726212994,88779.62801499157,293.2873832234232,297.7438618378722,297.9591046016073,14.43388109799855,14.45864179355836,14.600770787551273
14,209.86387103824163,206.31156582998614,209.23648519784183,147603.1161145524,141095.27283341243,144552.09460349238,384.19150968566754,375.62650709636085,380.20007180889957,19.361246738783926,19.033524500133474,19.30336649481288
30,268.43530925304424,294.93663538749644,258.38384295583563,192735.76861749144,218858.2629042082,180070.39776693183,439.0168204266113,467.82289694307207,424.34702516564414,25.02048289450995,27.490634749994186,24.08359966087775
60,312.6411518116354,328.932329638772,330.64160582710275,233606.18219965923,263862.88641818473,300183.0718491039,483.3282344325223,513.6758573440889,547.8896529859858,29.134081586439848,30.65220708337047,30.81148935199065
182,351.336666494509,389.25082464622295,364.8596584105442,283509.56871317653,349719.20378881315,365113.9653900621,532.4561660016499,591.3706145800729,604.2466097464363,32.71136888523217,36.241384768994564,33.97043353513359
365,375.1918735444101,435.47025205300696,374.4222131371927,321352.4756012419,417929.22919620626,309706.52166441246,566.8795953297683,646.4744613642571,556.5128225516573,35.71316386979958,41.450845736804396,35.639902666172254
