,diagnostics_mae_improve,diagnostics_mae_improve,diagnostics_mae_improve,mae,mae,mae,mse,mse,mse,rmse,rmse,rmse,wape,wape,wape
Model,informer,log_transformer,our_transformer,informer,log_transformer,our_transformer,informer,log_transformer,our_transformer,informer,log_transformer,our_transformer,informer,log_transformer,our_transformer
Step,,,,,,,,,,,,,,,
7,0.0014651168315586234,-0.0017606398179291162,0.002582557453817212,156.24285367143167,157.01648828449598,157.8725194179805,85975.70883443042,88700.9834333292,88704.15305417284,293.21614695379657,297.82710325510874,297.83242445068475,14.41273377585716,14.484098254013272,14.563063458122402
14,-0.0007089711276960166,0.0023412765175539903,0.013009648464141509,210.01265846355426,205.8285334056086,206.51439207954536,147387.49954552297,140460.79783706416,142725.92429944986,383.9107963388409,374.78099983465563,377.79084729443866,19.37497330371792,18.988961756175023,19.05223648254088
30,0.0167172498394939,0.026849352539222666,0.006095832050515287,263.9478091225193,287.01777768724537,256.80877844461014,188469.04603323105,210450.76699419253,178400.8079979807,434.13021783012414,458.7491329628782,422.3751981331062,24.602209230857643,26.752529006064584,23.936790082173196
60,0.012040650037892977,0.00851035142128196,0.001213851773592951,308.8767491152277,326.1329999197251,330.2402559274459,230810.35850711985,256220.18555494174,298138.2209695021,480.4272666149579,506.1819688164936,546.0203484939935,28.78328830588211,30.391346029253075,30.7740887709937
182,-0.0009645779994460306,-0.004265692030457136,-0.013746276467384948,351.67555811340833,390.9112487867652,369.8751201468512,284665.4893422844,347861.95953593316,371913.3545016157,533.5405226805967,589.7982362943561,609.8469926970336,32.74292155199062,36.39597935517639,34.437400506224456
365,-0.003775135184933012,-0.005319996340029827,-0.022871159319944743,376.60827358732854,437.7869522001208,382.98568322677977,322883.20055225596,414730.66950604506,319050.1747851974,568.2281236899983,643.9958614044388,564.8452662324412,35.84798589128974,41.67136408441534,36.45502855819762
