,mae,mae,mae,mae,mse,mse,mse,mse,rmse,rmse,rmse,rmse,wape,wape,wape,wape
Model,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer,informer,log_transformer,lstnet,our_transformer
Step,,,,,,,,,,,,,,,,
7,269.59454914766997,283.541752406529,266.25592869146163,281.68974863416514,260331.7662284099,311293.385658512,268376.25454459427,302570.29949376534,510.2271711977028,557.9367219125409,518.0504362941839,550.0639049181152,11.838250847138344,12.450690866109055,11.69164763661745,12.369366947296882
14,403.2637583832371,360.1000794366723,335.5594115627363,357.9899088873504,488678.2920505301,440784.61137133697,367790.2494541632,441526.59850762447,699.0552854034722,663.9161177222142,606.4571291147984,664.4746786053058,17.711362122997997,15.81561143256052,14.737784212980717,15.722932648604914
30,478.1429378812676,555.4229745692238,612.0053558198033,492.8285650931183,616667.5263912745,689842.6396793922,783694.3683708672,626491.8910848552,785.2818133582838,830.5676611085892,885.2651401534273,791.5124074105568,20.860049925505837,24.231563537521154,26.70009586181157,21.50074310019546
60,577.5228146447796,650.6549204219176,688.8485198775994,561.4052192018742,826106.4311644542,941301.9674514589,924352.2256825774,763266.8684827273,908.9039724659884,970.2071775922186,961.4323822727094,873.6514570941476,24.950356718539478,28.109837314712756,29.759891488538614,24.254038329814108
182,565.1021106954345,815.896142055268,762.9370560962363,567.6030198994487,714464.9932767133,1268353.2694290786,1048748.187083228,702342.5175908853,845.2603109555738,1126.211911422126,1024.0840722729888,838.0587793173491,22.908503710385116,33.075367166051215,30.928474782835618,23.009887312914916
365,573.5994375148828,819.3456752149121,632.0281984018366,558.90332723174,751574.9780385396,1282646.7100112045,775425.0445496188,701245.636926509,866.9342408963552,1132.5399374905967,880.5822190741867,837.4041061079823,23.53146150564601,33.61300579315332,25.928455030588708,22.92856524949072
